ds,y,
2010-07-16,1731,1845.857143
2010-07-17,1495,1938.571429
2010-07-18,1391,1988.857143
2010-07-19,1444,2061.571429
2010-07-20,1753,2260.285714
2010-07-21,1721,2357.714286
2010-07-22,3386,2460.428571
2010-07-23,2380,2362.142857
2010-07-24,1847,2391.714286
2010-07-25,1900,2529.571429
2010-07-26,2835,2564.714286
2010-07-27,2435,2647.285714
2010-07-28,2440,3146.571429
2010-07-29,2698,3468
2010-07-30,2587,3536.857143
2010-07-31,2812,3597.142857
2010-08-01,2146,3572.142857
2010-08-02,3413,3634
2010-08-03,5930,3636.714286
2010-08-04,4690,3183.142857
2010-08-05,3180,2926.714286
2010-08-06,3009,2883.714286
2010-08-07,2637,2941.142857
2010-08-08,2579,2912.571429
2010-08-09,3432,3123.428571
2010-08-10,2755,3197
2010-08-11,2895,3700
2010-08-12,2879,4055.714286
2010-08-13,3411,4306
2010-08-14,2437,4527.714286
2010-08-15,4055,4787
2010-08-16,3947,4771.714286
2010-08-17,6276,4869.428571
2010-08-18,5385,4555.714286
2010-08-19,4631,4248.142857
2010-08-20,4963,4099.428571
2010-08-21,4252,4393.571429
2010-08-22,3948,4244.285714
2010-08-23,4631,4170.857143
2010-08-24,4080,4023.142857
2010-08-25,3232,3918.142857
2010-08-26,3590,3955.714286
2010-08-27,7022,3965.285714
2010-08-28,3207,3528.428571
2010-08-29,3434,3532.857143
2010-08-30,3597,3586.714286
2010-08-31,3345,3604.571429
2010-09-01,3495,3795.428571
2010-09-02,3657,4035.714286
2010-09-03,3964,4309
2010-09-04,3238,5063.571429
2010-09-05,3811,5199.285714
2010-09-06,3722,7407.428571
2010-09-07,4681,8393.285714
2010-09-08,5177,8646
2010-09-09,5570,8604.857143
2010-09-10,9246,8597.857143
2010-09-11,4188,8375.714286
2010-09-12,19268,9026.142857
2010-09-13,10623,8183
2010-09-14,6450,19763.14286
2010-09-15,4889,20397.28571
2010-09-16,5521,20488.28571
2010-09-17,7691,20385.71429
2010-09-18,8741,19878
2010-09-19,13366,19206.28571
2010-09-20,91684,18907.71429
2010-09-21,10889,7565
2010-09-22,5526,7081.142857
2010-09-23,4803,6956.857143
2010-09-24,4137,6852
2010-09-25,4039,6819.142857
2010-09-26,11276,6763.142857
2010-09-27,12285,6321.285714
2010-09-28,7502,6143.142857
2010-09-29,4656,6387.714286
2010-09-30,4069,6388.714286
2010-10-01,3907,6356.571429
2010-10-02,3647,6387.714286
2010-10-03,8183,6338.714286
2010-10-04,11038,6527.571429
2010-10-05,9214,5948.142857
2010-10-06,4663,6619.428571
2010-10-07,3844,6648.714286
2010-10-08,4125,6848.571429
2010-10-09,3304,6865
2010-10-10,9505,6865.714286
2010-10-11,6982,6857.285714
2010-10-12,13913,9252.571429
2010-10-13,4868,8138.142857
2010-10-14,5243,8043.857143
2010-10-15,4240,7848.857143
2010-10-16,3309,7793.285714
2010-10-17,9446,7750.142857
2010-10-18,23749,7124
2010-10-19,6112,4739
2010-10-20,4208,6414.285714
2010-10-21,3878,6515.428571
2010-10-22,3851,6600.285714
2010-10-23,3007,7144.857143
2010-10-24,5063,7728.285714
2010-10-25,7054,8179.571429
2010-10-26,17839,8490.285714
2010-10-27,4916,9968.142857
2010-10-28,4472,10033.85714
2010-10-29,7663,10211.28571
2010-10-30,7091,10046.71429
2010-10-31,8222,9627.857143
2010-11-01,9229,9691.857143
2010-11-02,28184,10327
2010-11-03,5376,7166.857143
2010-11-04,5714,7016
2010-11-05,6511,6821
2010-11-06,4159,6526.428571
2010-11-07,8670,6443.571429
2010-11-08,13675,6226.571429
2010-11-09,6063,5701.571429
2010-11-10,4320,5705.571429
2010-11-11,4349,5673.428571
2010-11-12,4449,5797.142857
2010-11-13,3579,5941.142857
2010-11-14,7151,6316.857143
2010-11-15,10000,7282.857143
2010-11-16,6091,9553.142857
2010-11-17,4095,9646.714286
2010-11-18,5215,9644.714286
2010-11-19,5457,9766.428571
2010-11-20,6209,9882.714286
2010-11-21,13913,9626.142857
2010-11-22,25892,9096.571429
2010-11-23,6746,9462.857143
2010-11-24,4081,9561.142857
2010-11-25,6067,9794.142857
2010-11-26,6271,9556.428571
2010-11-27,4413,9240.714286
2010-11-28,10206,9142.142857
2010-11-29,28456,9219.428571
2010-11-30,7434,8066.571429
2010-12-01,5712,8375.142857
2010-12-02,4403,8459.142857
2010-12-03,4061,8792.285714
2010-12-04,3723,10695.57143
2010-12-05,10747,10915.85714
2010-12-06,20386,10455.71429
2010-12-07,9594,8860.285714
2010-12-08,6300,9866.857143
2010-12-09,6735,9897
2010-12-10,17384,9628.857143
2010-12-11,5265,7873.571429
2010-12-12,7526,7613.285714
2010-12-13,9218,7826
2010-12-14,16640,7808.714286
2010-12-15,6511,7726.142857
2010-12-16,4858,7743.857143
2010-12-17,5097,7786.142857
2010-12-18,3443,7645.714286
2010-12-19,9015,7622.285714
2010-12-20,9097,7406.714286
2010-12-21,16062,7799.428571
2010-12-22,6635,6555.714286
2010-12-23,5154,6630
2010-12-24,4114,6555.857143
2010-12-25,3279,6741.571429
2010-12-26,7506,7442
2010-12-27,11846,8094.857143
2010-12-28,7356,9530.142857
2010-12-29,7155,9710.285714
2010-12-30,4635,9812.857143
2010-12-31,5414,10248.42857
2011-01-01,8182,10870.57143
2011-01-02,12076,10978.57143
2011-01-03,21893,16825.28571
2011-01-04,8617,15395
2011-01-05,7873,15576.42857
2011-01-06,7684,15244.28571
2011-01-07,9769,14932.85714
2011-01-08,8938,14390.71429
2011-01-09,53003,13989
2011-01-10,11881,8326.285714
2011-01-11,9887,8267.714286
2011-01-12,5548,7787.714286
2011-01-13,5504,7854.571429
2011-01-14,5974,7910.714286
2011-01-15,6126,7748
2011-01-16,13364,7514
2011-01-17,11471,6731.714286
2011-01-18,6527,7100
2011-01-19,6016,7102.428571
2011-01-20,5897,7025.285714
2011-01-21,4835,6881.428571
2011-01-22,4488,6857.714286
2011-01-23,7888,6732.428571
2011-01-24,14049,6228.857143
2011-01-25,6544,5468.285714
2011-01-26,5476,5141.428571
2011-01-27,4890,4962.571429
2011-01-28,4669,4991.142857
2011-01-29,3611,4982
2011-01-30,4363,5193.571429
2011-01-31,8725,5718.285714
2011-02-01,4256,6989.857143
2011-02-02,4224,7188.571429
2011-02-03,5090,7150.428571
2011-02-04,4605,6983
2011-02-05,5092,6824.428571
2011-02-06,8036,6487.571429
2011-02-07,17626,5702.714286
2011-02-08,5647,3621.285714
2011-02-09,3957,3228.428571
2011-02-10,3918,3349.857143
2011-02-11,3495,3198.428571
2011-02-12,2734,3135.142857
2011-02-13,2542,3015.857143
2011-02-14,3056,2916.142857
2011-02-15,2897,2854.142857
2011-02-16,4807,2750
2011-02-17,2858,2389.142857
2011-02-18,3052,2323.428571
2011-02-19,1899,2189.428571
2011-02-20,1844,2172.142857
2011-02-21,2622,2193.857143
2011-02-22,2168,2163.142857
2011-02-23,2281,2185.285714
2011-02-24,2398,2196
2011-02-25,2114,2170.428571
2011-02-26,1778,2171.142857
2011-02-27,1996,2138.857143
2011-02-28,2407,2123.714286
2011-03-01,2323,2110.571429
2011-03-02,2356,2090.714286
2011-03-03,2219,2092.714286
2011-03-04,2119,2064.571429
2011-03-05,1552,2017
2011-03-06,1890,2068.857143
2011-03-07,2315,2075.428571
2011-03-08,2184,2009.714286
2011-03-09,2370,2001.428571
2011-03-10,2022,1900.428571
2011-03-11,1786,1855.714286
2011-03-12,1915,1815.571429
2011-03-13,1936,1728.571429
2011-03-14,1855,1652.714286
2011-03-15,2126,1624.714286
2011-03-16,1663,1587
2011-03-17,1709,1646.428571
2011-03-18,1505,1960
2011-03-19,1306,2338.142857
2011-03-20,1405,2494.857143
2011-03-21,1659,2547.571429
2011-03-22,1862,2592.571429
2011-03-23,2079,2633.285714
2011-03-24,3904,2621
2011-03-25,4152,2371.714286
2011-03-26,2403,2032.857143
2011-03-27,1774,1893
2011-03-28,1974,1871.428571
2011-03-29,2147,1829.857143
2011-03-30,1993,1796.714286
2011-03-31,2159,1767.428571
2011-04-01,1780,1699.142857
2011-04-02,1424,1973
2011-04-03,1623,2467.285714
2011-04-04,1683,2726.857143
2011-04-05,1915,2967.428571
2011-04-06,1788,3218.142857
2011-04-07,1681,3678.857143
2011-04-08,3697,4195.285714
2011-04-09,4884,4113.857143
2011-04-10,3440,3671.285714
2011-04-11,3367,3455.857143
2011-04-12,3670,3399.714286
2011-04-13,5013,3304.857143
2011-04-14,5296,2979.857143
2011-04-15,3127,2601.142857
2011-04-16,1786,2520.571429
2011-04-17,1932,2525.857143
2011-04-18,2974,2553.142857
2011-04-19,3006,2566
2011-04-20,2738,2607.428571
2011-04-21,2645,2726.571429
2011-04-22,2563,2943.142857
2011-04-23,1823,3385.428571
2011-04-24,2123,3801.714286
2011-04-25,3064,3929.428571
2011-04-26,3296,3838.857143
2011-04-27,3572,3685.285714
2011-04-28,4161,3516.285714
2011-04-29,5659,3274.857143
2011-04-30,4737,2741.142857
2011-05-01,3017,2268.285714
2011-05-02,2430,2060.857143
2011-05-03,2221,1965.571429
2011-05-04,2389,1915.571429
2011-05-05,2471,1868.428571
2011-05-06,1923,1808.428571
2011-05-07,1427,1778.142857
2011-05-08,1565,1750.857143
2011-05-09,1763,1754.142857
2011-05-10,1871,1771.428571
2011-05-11,2059,1766
2011-05-12,2051,1754.571429
2011-05-13,1711,1732.571429
2011-05-14,1236,1714.571429
2011-05-15,1588,1713.428571
2011-05-16,1884,1685.142857
2011-05-17,1833,1671
2011-05-18,1979,1698.142857
2011-05-19,1897,1944.571429
2011-05-20,1585,1978.714286
2011-05-21,1228,1969.428571
2011-05-22,1390,1966
2011-05-23,1785,1947.571429
2011-05-24,2023,1927.142857
2011-05-25,3704,1878
2011-05-26,2136,1591.571429
2011-05-27,1520,1558.857143
2011-05-28,1204,1557.857143
2011-05-29,1261,1559.571429
2011-05-30,1642,1554.428571
2011-05-31,1679,1573.571429
2011-06-01,1699,1604.142857
2011-06-02,1907,1578.857143
2011-06-03,1513,1501.571429
2011-06-04,1216,1510.714286
2011-06-05,1225,1526.142857
2011-06-06,1776,1552.428571
2011-06-07,1893,1544.428571
2011-06-08,1522,1464.857143
2011-06-09,1366,1485.714286
2011-06-10,1577,1519.571429
2011-06-11,1324,1528.714286
2011-06-12,1409,1602
2011-06-13,1720,1697
2011-06-14,1336,1716.428571
2011-06-15,1668,1741
2011-06-16,1603,1732.285714
2011-06-17,1641,1834.857143
2011-06-18,1837,1908.428571
2011-06-19,2074,1850.428571
2011-06-20,1856,1834.857143
2011-06-21,1508,1845.857143
2011-06-22,1607,1904.714286
2011-06-23,2321,1970.142857
2011-06-24,2156,1897
2011-06-25,1431,1828.285714
2011-06-26,1965,1855.285714
2011-06-27,1933,1767.857143
2011-06-28,1920,1895
2011-06-29,2065,1906.142857
2011-06-30,1809,1886.142857
2011-07-01,1675,1916.571429
2011-07-02,1620,2834.857143
2011-07-03,1353,3494.142857
2011-07-04,2823,3857.571429
2011-07-05,1998,3795.714286
2011-07-06,1925,3789.714286
2011-07-07,2022,3801.714286
2011-07-08,8103,4083
2011-07-09,6235,3216
2011-07-10,3897,2549.571429
2011-07-11,2390,2304.142857
2011-07-12,1956,2295.571429
2011-07-13,2009,2357.571429
2011-07-14,3991,2521.428571
2011-07-15,2034,2336
2011-07-16,1570,2393.142857
2011-07-17,2179,2431.142857
2011-07-18,2330,2373.714286
2011-07-19,2390,2421.142857
2011-07-20,3156,2713.285714
2011-07-21,2693,2819
2011-07-22,2434,2973.571429
2011-07-23,1836,3254.142857
2011-07-24,1777,4244.428571
2011-07-25,2662,6170.571429
2011-07-26,4435,6889
2011-07-27,3896,6985.714286
2011-07-28,3775,7032.142857
2011-07-29,4398,7082.428571
2011-07-30,8768,7004
2011-07-31,15260,6220.714286
2011-08-01,7691,4528.571429
2011-08-02,5112,3863.857143
2011-08-03,4221,3597.714286
2011-08-04,4127,3481.285714
2011-08-05,3849,3339.285714
2011-08-06,3285,3304.714286
2011-08-07,3415,3280.142857
2011-08-08,3038,3452.285714
2011-08-09,3249,3492.428571
2011-08-10,3406,3532.428571
2011-08-11,3133,3553
2011-08-12,3607,3675.285714
2011-08-13,3113,3738.285714
2011-08-14,4620,3943.714286
2011-08-15,3319,4190.857143
2011-08-16,3529,4596.714286
2011-08-17,3550,4956.571429
2011-08-18,3989,5159.142857
2011-08-19,4048,5448.714286
2011-08-20,4551,5631.428571
2011-08-21,6350,6431.571429
2011-08-22,6160,6166.857143
2011-08-23,6048,5956
2011-08-24,4968,6013.428571
2011-08-25,6016,5844.428571
2011-08-26,5327,5483.285714
2011-08-27,10152,5165.142857
2011-08-28,4497,4194.285714
2011-08-29,4684,4945.571429
2011-08-30,6450,5624.571429
2011-08-31,3785,5891.428571
2011-09-01,3488,7782.428571
2011-09-03,3100,10702.57143
2011-09-04,3356,11553.28571
2011-09-05,9756,13497.14286
2011-09-06,9437,14244.42857
2011-09-07,8318,14535.71429
2011-09-08,17022,14088.71429
2011-09-09,23929,12324.57143
2011-09-10,9055,9561.142857
2011-09-11,16963,9047.714286
2011-09-12,14987,8066.714286
2011-09-13,11476,7835.714286
2011-09-14,5189,8147.857143
2011-09-15,4673,8094
2011-09-16,4585,7991.857143
2011-09-17,5461,7894.142857
2011-09-18,10096,7679.285714
2011-09-19,13370,7430
2011-09-20,13661,9570.714286
2011-09-21,4812,8986.571429
2011-09-22,3958,8860
2011-09-23,3901,8896.857143
2011-09-24,3957,8988.714286
2011-09-25,8351,8940.714286
2011-09-26,28355,8772
2011-09-27,9572,5872.142857
2011-09-28,3926,6524.714286
2011-09-29,4216,6608.428571
2011-09-30,4544,6587.571429
2011-10-01,3621,6552.285714
2011-10-02,7170,6529.285714
2011-10-03,8056,6626.428571
2011-10-04,14140,6505.571429
2011-10-05,4512,5347
2011-10-06,4070,5240
2011-10-07,4297,5164.857143
2011-10-08,3460,5038.142857
2011-10-09,7850,5524.714286
2011-10-10,7210,5669.571429
2011-10-11,6030,5809.714286
2011-10-12,3763,5821
2011-10-13,3544,5932.857143
2011-10-14,3410,5950.428571
2011-10-15,6866,5913.142857
2011-10-16,8864,5910.428571
2011-10-17,8191,8421.714286
2011-10-18,6109,8208.714286
2011-10-19,4546,8246.714286
2011-10-21,3667,8629.142857
2011-10-22,3149,8852
2011-10-23,6847,8948.714286
2011-10-24,26443,9624.142857
2011-10-25,6700,7161.571429
2011-10-26,6375,7143.714286
2011-10-27,7223,7051.571429
2011-10-28,5227,6915.285714
2011-10-29,3826,7182.428571
2011-10-30,11575,7297.142857
2011-10-31,9205,7329
2011-11-01,6575,8442.714286
2011-11-02,5730,8486.142857
2011-11-03,6269,8342.857143
2011-11-04,7097,7976
2011-11-05,4629,7497.285714
2011-11-06,11798,7282.428571
2011-11-07,17001,6841.428571
2011-11-08,6879,6260.428571
2011-11-09,4727,6420
2011-11-10,3701,6405.428571
2011-11-11,3746,6527.428571
2011-11-12,3125,6759
2011-11-13,8711,6861.571429
2011-11-14,12934,6514.285714
2011-11-15,7996,6565.857143
2011-11-16,4625,6302.571429
2011-11-17,4555,6252
2011-11-18,5367,6515.285714
2011-11-19,3843,6630.428571
2011-11-20,6280,6707.571429
2011-11-21,13295,7393.571429
2011-11-22,6153,7066.571429
2011-11-23,4271,8887.142857
2011-11-24,6398,9221.714286
2011-11-25,6173,9120.285714
2011-11-26,4383,9328.428571
2011-11-27,11082,9692.428571
2011-11-28,11006,10441.57143
2011-11-29,18897,10854
2011-11-30,6613,9210.571429
2011-12-01,5688,9449
2011-12-02,7630,9928.142857
2011-12-03,6931,9856.285714
2011-12-04,16326,9490.285714
2011-12-05,13893,8618.285714
2011-12-06,7393,9349.714286
2011-12-07,8282,9287
2011-12-08,9042,8829.857143
2011-12-09,7127,8304.857143
2011-12-10,4369,7978.714286
2011-12-11,10222,7869.428571
2011-12-12,19013,8311.714286
2011-12-13,6954,7434.428571
2011-12-14,5082,7430.857143
2011-12-15,5367,7317.142857
2011-12-16,4844,7330.857143
2011-12-17,3604,6742.428571
2011-12-18,13318,6523.428571
2011-12-19,12872,6105.428571
2011-12-20,6929,5294
2011-12-21,4286,5158.428571
2011-12-22,5463,5216.571429
2011-12-23,725,4928.285714
2011-12-26,2071,6074.142857
2011-12-27,10392,9797.285714
2011-12-28,7192,11043.57143
2011-12-29,5980,11412.57143
2011-12-30,4693,11471.14286
2011-12-31,3445,11504
2012-01-01,8746,11831.85714
2012-01-02,28133,13853.85714
2012-01-03,19116,11676.57143
2012-01-04,9775,10072.57143
2012-01-05,6390,9783.428571
2012-01-06,4923,9938.571429
2012-01-07,5740,10115.71429
2012-01-08,22900,10187.57143
2012-01-09,12892,11005.14286
2012-01-10,7888,14724.71429
2012-01-11,7751,15626.85714
2012-01-12,7476,16637.28571
2012-01-13,6163,18998.85714
2012-01-14,6243,20516.71429
2012-01-15,28623,21372.71429
2012-01-16,38929,19974.71429
2012-01-17,14203,29571.14286
2012-01-18,14824,31712.71429
2012-01-19,24007,33323.85714
2012-01-20,16788,32185.85714
2012-01-21,12235,32622
2012-01-22,18837,32560.57143
2012-01-23,106104,31941.57143
2012-01-24,29194,21211.14286
2012-01-25,26102,21434.85714
2012-01-26,16041,21620
2012-01-27,19841,21740.28571
2012-01-28,11805,22701.28571
2012-01-29,14504,23829.71429
2012-01-30,30991,30978.14286
2012-01-31,30760,72149.42857
2012-02-01,27398,75688.14286
2012-02-02,16883,75547.14286
2012-02-03,26568,75880.14286
2012-02-04,19704,75006.14286
2012-02-05,64543,73920.85714
2012-02-06,319190,66317.71429
2012-02-07,55531,22060.71429
2012-02-08,26411,15189.85714
2012-02-09,19214,12803
2012-02-10,20450,11283.85714
2012-02-11,12107,9231
2012-02-12,11321,8138.714286
2012-02-13,9391,7093.285714
2012-02-14,7435,7051.571429
2012-02-15,9703,7092.285714
2012-02-16,8580,6311.285714
2012-02-17,6080,5904.428571
2012-02-18,4461,5845.857143
2012-02-19,4003,6080.142857
2012-02-20,9099,6121.714286
2012-02-21,7720,5440.714286
2012-02-22,4236,5052.142857
2012-02-23,5732,5032.428571
2012-02-24,5670,4846
2012-02-25,6101,4624.142857
2012-02-26,4294,4297
2012-02-27,4332,4484.714286
2012-02-28,5000,4446.857143
2012-02-29,4098,4389.142857
2012-03-01,4427,20103.71429
2012-03-02,4117,31771.57143
2012-03-03,3811,37475.42857
2012-03-04,5608,41327.14286
2012-03-05,4067,43629.14286
2012-03-06,4596,47220.28571
2012-03-07,114100,50385.42857
2012-03-08,86102,37547.28571
2012-03-09,44044,28891.42857
2012-03-10,30773,26222.14286
2012-03-11,21722,25706.14286
2012-03-12,29205,25857.42857
2012-03-13,26752,30977.42857
2012-03-14,24233,37339.71429
2012-03-15,25511,40737.28571
2012-03-16,25359,40078.57143
2012-03-17,27161,38141.85714
2012-03-18,22781,35416.71429
2012-03-19,65045,33141.71429
2012-03-20,71288,24895.14286
2012-03-21,48016,15626
2012-03-22,20900,9498.142857
2012-03-23,11802,7145.285714
2012-03-24,8085,6041.285714
2012-03-25,6856,5485.285714
2012-03-26,7319,4990.857143
2012-03-27,6404,4554.571429
2012-03-28,5121,4247.428571
2012-03-29,4430,4026.571429
2012-03-30,4074,3868.857143
2012-03-31,4193,3741.142857
2012-04-01,3395,3499
2012-04-02,4265,3382.285714
2012-04-03,4254,3244.428571
2012-04-04,3575,3102.857143
2012-04-05,3326,3013.714286
2012-04-06,3180,3008.714286
2012-04-07,2498,3373.285714
2012-04-08,2578,3460.142857
2012-04-09,3300,3539.428571
2012-04-10,3263,3599.428571
2012-04-11,2951,3638.428571
2012-04-12,3291,3812.428571
2012-04-13,5732,3892.714286
2012-04-14,3106,3525
2012-04-15,3133,3399.285714
2012-04-16,3720,3343.714286
2012-04-17,3536,3364.714286
2012-04-18,4169,3427.571429
2012-04-19,3853,3447.714286
2012-04-20,3158,3699.714286
2012-04-21,2226,4768.714286
2012-04-22,2744,5287.571429
2012-04-23,3867,5586.142857
2012-04-24,3976,5539.428571
2012-04-25,4310,5495
2012-04-26,5617,5393.714286
2012-04-27,10641,5030.428571
2012-04-28,5858,3960.142857
2012-04-29,4834,4475.142857
2012-05-01,3540,4764.428571
2012-05-02,3665,4862.857143
2012-05-03,3601,4850.857143
2012-05-04,3074,4744.142857
2012-05-05,3149,4678.714286
2012-05-06,9463,4547.285714
2012-05-07,6859,3550.857143
2012-05-08,4229,2931.142857
2012-05-09,3581,2707.285714
2012-05-10,2854,2638
2012-05-11,2616,2636.428571
2012-05-12,2229,2600.285714
2012-05-13,2488,2534.571429
2012-05-14,2521,2447.714286
2012-05-15,2662,2512.571429
2012-05-16,3096,2712.714286
2012-05-17,2843,2708.714286
2012-05-18,2363,2647.857143
2012-05-19,1769,2645.857143
2012-05-20,1880,2645.428571
2012-05-21,2975,2673.857143
2012-05-22,4063,2550.714286
2012-05-23,3068,2325.857143
2012-05-24,2417,2241
2012-05-25,2349,2317.571429
2012-05-26,1766,2335.142857
2012-05-27,2079,2385.285714
2012-05-28,2113,2402
2012-05-29,2489,2463.571429
2012-05-30,2474,2506.428571
2012-05-31,2953,2453.428571
2012-06-01,2472,2354.571429
2012-06-02,2117,2379.142857
2012-06-03,2196,2478.142857
2012-06-04,2544,2499
2012-06-05,2789,2430.714286
2012-06-06,2103,2398.285714
2012-06-07,2261,2482.142857
2012-06-08,2644,2481.714286
2012-06-09,2810,2423.428571
2012-06-10,2342,2290.714286
2012-06-11,2066,2346
2012-06-12,2562,2400
2012-06-13,2690,2670.142857
2012-06-14,2258,2796.428571
2012-06-15,2236,2845.142857
2012-06-16,1881,2920.428571
2012-06-17,2729,2927.857143
2012-06-18,2444,2801.285714
2012-06-19,4453,2751.857143
2012-06-20,3574,2454.285714
2012-06-21,2599,2232
2012-06-22,2763,2143.857143
2012-06-23,1933,2017.714286
2012-06-24,1843,1962.857143
2012-06-25,2098,1948.571429
2012-06-26,2370,1911
2012-06-27,2018,1870.285714
2012-06-28,1982,1890
2012-06-29,1880,1880.571429
2012-06-30,1549,1924
2012-07-01,1743,1990
2012-07-02,1835,2021.428571
2012-07-03,2085,2088.285714
2012-07-04,2156,2133
2012-07-05,1916,2253.571429
2012-07-06,2184,2796.428571
2012-07-07,2011,3122
2012-07-08,1963,3460.571429
2012-07-09,2303,3618.142857
2012-07-10,2398,3697.428571
2012-07-11,3000,3778.714286
2012-07-12,5716,3772.714286
2012-07-13,4463,3355.571429
2012-07-14,4381,3138.714286
2012-07-15,3066,2855.857143
2012-07-16,2858,2769.571429
2012-07-17,2967,2810.428571
2012-07-18,2958,2802.285714
2012-07-19,2796,2861
2012-07-20,2945,3207
2012-07-21,2401,3862.857143
2012-07-22,2462,4086.571429
2012-07-23,3144,4300.571429
2012-07-24,2910,4352.857143
2012-07-25,3369,4328
2012-07-26,5218,4218.571429
2012-07-27,7536,3930.857143
2012-07-28,3967,3315.714286
2012-07-29,3960,3229.571429
2012-07-30,3510,3140.714286
2012-07-31,2736,3131.285714
2012-08-01,2603,3194.714286
2012-08-02,3204,3225.857143
2012-08-03,3230,3310.285714
2012-08-04,3364,4015
2012-08-05,3338,4360.285714
2012-08-06,3444,4831.714286
2012-08-07,3180,4958.857143
2012-08-08,2821,5253.142857
2012-08-09,3795,5475.571429
2012-08-10,8163,5416.714286
2012-08-11,5781,4880
2012-08-12,6638,4649.571429
2012-08-13,4334,4778.285714
2012-08-14,5240,5326
2012-08-15,4378,5199
2012-08-16,3383,5095.428571
2012-08-17,4406,5238.428571
2012-08-18,4168,5190.285714
2012-08-19,7539,5488.714286
2012-08-20,8168,6214.428571
2012-08-21,4351,6387
2012-08-22,3653,6533.285714
2012-08-23,4384,6689.285714
2012-08-24,4069,6677
2012-08-25,6257,6845.285714
2012-08-26,12619,6634.428571
2012-08-27,9376,5951.142857
2012-08-28,5375,5357.285714
2012-08-29,4745,5270.142857
2012-08-30,4298,5488.285714
2012-08-31,5247,8064.714286
2012-09-01,4781,8165.142857
2012-09-02,7836,8412
2012-09-03,5219,9971.285714
2012-09-04,4765,25045.71429
2012-09-05,6272,26535.57143
2012-09-06,22333,26571.28571
2012-09-07,5950,24222.42857
2012-09-08,6509,24531.14286
2012-09-09,18751,24499.42857
2012-09-10,110740,24415.71429
2012-09-11,15194,10731.85714
2012-09-12,6522,14249.71429
2012-09-13,5891,14224.42857
2012-09-14,8111,14128.85714
2012-09-15,6287,14706
2012-09-16,18165,14481.14286
2012-09-17,14953,13891.71429
2012-09-18,39819,13877.57143
2012-09-19,6345,9027.428571
2012-09-20,5222,8626.285714
2012-09-21,12151,8422.428571
2012-09-22,4713,7396.428571
2012-09-23,14039,7311.714286
2012-09-24,14854,6806.285714
2012-09-25,5868,7391.714286
2012-09-26,3537,7533.142857
2012-09-27,3795,7728.428571
2012-09-28,4969,7989.142857
2012-09-29,4120,8486.857143
2012-09-30,10501,8636.428571
2012-10-01,18952,9759.571429
2012-10-02,6858,9905.285714
2012-10-03,4904,9990.285714
2012-10-04,5620,9883.285714
2012-10-05,8453,9620
2012-10-06,5167,9048.857143
2012-10-07,18363,8853
2012-10-08,19972,7429.285714
2012-10-09,7453,5860.714286
2012-10-10,4155,12027.71429
2012-10-11,3777,12362
2012-10-12,4455,12510.71429
2012-10-13,3796,12569
2012-10-14,8397,12573.85714
2012-10-15,8992,13367.57143
2012-10-16,50622,13358.71429
2012-10-17,6495,6958.714286
2012-10-18,4818,6634.714286
2012-10-19,4863,6545.142857
2012-10-20,3830,6548.857143
2012-10-21,13953,6727.571429
2012-10-22,8930,6176.428571
2012-10-23,5822,9807.571429
2012-10-24,4227,9999.428571
2012-10-25,4191,10237.71429
2012-10-26,4889,10339.85714
2012-10-27,5081,10393.28571
2012-10-28,10095,10341.14286
2012-10-29,34348,11272.85714
2012-10-30,7165,8667
2012-10-31,5895,8620.142857
2012-11-01,4906,8405.714286
2012-11-02,5263,8405.857143
2012-11-03,4716,8647.571429
2012-11-04,16617,8537.857143
2012-11-05,16107,7672.714286
2012-11-06,6837,6666.142857
2012-11-07,4394,6552.857143
2012-11-08,4907,6518.571429
2012-11-09,6955,6432
2012-11-10,3948,6000.142857
2012-11-11,10561,5920.857143
2012-11-12,9061,5796.857143
2012-11-13,6044,6800.142857
2012-11-14,4154,6756.714286
2012-11-15,4301,6735
2012-11-16,3932,6938.142857
2012-11-17,3393,7455.428571
2012-11-18,9693,7603.428571
2012-11-19,16084,8066.285714
2012-11-20,5740,8586.857143
2012-11-21,4002,8762.428571
2012-11-22,5723,8977.857143
2012-11-23,7553,8849.571429
2012-11-24,4429,8671.285714
2012-11-25,12933,8857.285714
2012-11-26,19728,8649.571429
2012-11-27,6969,8109
2012-11-28,5510,9315.142857
2012-11-29,4825,9410.714286
2012-11-30,6305,9649.428571
2012-12-01,5731,11773.71429
2012-12-02,11479,11845.57143
2012-12-03,15944,11696
2012-12-04,15412,10929
2012-12-05,6179,10502
2012-12-06,6496,10560.42857
2012-12-07,21175,10492.57143
2012-12-08,6234,8128.428571
2012-12-09,10432,7807.571429
2012-12-10,10575,7900.714286
2012-12-11,12423,8029.285714
2012-12-12,6588,7194.285714
2012-12-13,6021,6968.714286
2012-12-14,4626,6752.142857
2012-12-15,3988,6664.285714
2012-12-16,11084,6621.285714
2012-12-17,11475,6534
2012-12-18,6578,7117.142857
2012-12-19,5009,6983
2012-12-20,4505,7049.428571
2012-12-21,4011,7524
2012-12-22,3687,7794.714286
2012-12-23,10473,7993.428571
2012-12-24,15557,8387.142857
2012-12-25,5639,9794.571429
2012-12-26,5474,10283.28571
2012-12-27,7827,10761.57143
2012-12-28,5906,10866.57143
2012-12-29,5078,11643.14286
2012-12-30,13229,12388.71429
2012-12-31,25409,14092.14286
2013-01-01,9060,12354.14286
2013-01-02,8822,12355
